"näringsgren SNI 2007","ämne","2008","2009","2010","2011","2012"
"A01 jordbruksföretag och serviceföretag till jordbruk","co2 koldioxid",1336743,1279540,1395351,1378416,1381355
"A02 skogsbruksföretag","co2 koldioxid",848910,857644,776811,812941,783447
"A03 fiskare och vattenbrukare ","co2 koldioxid",182797,182893,163324,144664,140263
"B05-B09 utvinning av mineral","co2 koldioxid",760831,620212,843018,835942,846398
"C10-C12 livsmedel, drycker och tobak","co2 koldioxid",606910,627468,593235,592396,562781
"C13-C15 tillverkning av textilier, kläder och läderprodukter","co2 koldioxid",53347,49526,48961,44035,40276
"C16 industri för trä och varor av trä, kork och rotting o.d. utom möbler","co2 koldioxid",123658,121140,123621,114360,99892
"C17 massa-, pappers- och pappersvaruindustri","co2 koldioxid",1718299,1448263,1487742,1301960,1186615
"C18 grafisk och annan reproduktionsindustri","co2 koldioxid",36250,31544,27709,27747,26344
"C19 industri för stenkolsprodukter och raffinerade petroleumprodukter ","co2 koldioxid",2460599,3027993,2939971,2755346,3173043
"C20-C21 tillverkning av kemikalier och kemiska produkter, farmaceutiska basprodukter och läkemedel","co2 koldioxid",1328526,1151425,1344183,1418583,1297090
"C22 gummi- och plastvaruindustri","co2 koldioxid",89171,86064,99788,75345,64977
"C23 industri för andra icke-metalliska mineraliska produkter","co2 koldioxid",3711322,3092333,3410198,3566923,3576175
"C24 stål- och metallverk","co2 koldioxid",6458486,3596294,6444284,5387776,4409090
"C25 industri för metallvaror utom maskiner och apparater","co2 koldioxid",229991,214183,199757,189779,191254
"C26 industri för datorer, elektronikvaror och optik","co2 koldioxid",18330,20491,18295,17042,15632
"C27 industri för elapparatur","co2 koldioxid",23285,25806,24770,23944,18625
"C28 övrig maskinindustri","co2 koldioxid",133087,109396,110326,103032,97882
"C29 industri för motorfordon, släpfordon och påhängsvagnar","co2 koldioxid",214133,178792,196507,171717,160034
"C30 annan transportmedelsindustri","co2 koldioxid",26352,22562,23021,20996,19320
"C31-C32 tillverkning av möbler och annan tillverkning","co2 koldioxid",65404,56745,58728,55790,51684
"C33 reparationsverkstäder och installationsföretag för maskiner och apparater","co2 koldioxid",61087,58810,62399,58921,59128
"D35 el-, gas- och värmeverk","co2 koldioxid",7171277,7616707,9931579,7751095,6937476
"E36-E37 vattenförsörjning och avloppsrening","co2 koldioxid",10773,10653,12199,12493,14306
"E38-E39 avfallshantering, återvinning, sanering","co2 koldioxid",261770,262919,311939,318043,213441
"F41-F43 byggverksamhet","co2 koldioxid",2153829,2170999,2224388,2266262,2304025
"G45-G47 handel","co2 koldioxid",1604564,1519083,1521269,1552176,1414734
"H49 landtransportföretag; rörtransportföretag","co2 koldioxid",3740520,3422024,3669550,3555814,3420149
"H50 rederier","co2 koldioxid",7392687,7392877,7175756,6320745,6023818
"H51 flygbolag","co2 koldioxid",3076642,3077087,2617679,2828884,2713864
"H52-H53 magasinering och stödtjänster till transport, post och kurirverksamhet","co2 koldioxid",437926,425631,428129,432034,436833
"I55-I56 hotell- och restaurang","co2 koldioxid",80167,84955,84515,86821,83731
"J58 förlag","co2 koldioxid",18979,21599,18825,17381,15858
"J59-J60 film, video, ljud, planering och sändning av program","co2 koldioxid",19307,20214,19233,20697,19044
"J61 telekommunikation","co2 koldioxid",27911,26243,20344,19967,19301
"J62-J63 dataprogrammering, datakonsulter och informationstjänster","co2 koldioxid",88583,101676,82432,88215,79270
"K64 banker och andra kreditinstitut","co2 koldioxid",46570,49872,65031,64673,70630
"K65 försäkrings- och återförsäkringsbolag, pensionsfonder","co2 koldioxid",15368,15773,21671,16152,13456
"K66 serviceföretag till finans- och försäkringsverksamhet","co2 koldioxid",19566,32851,13037,11029,10334
"L68 fastighetsbolag och fastighetsförvaltare","co2 koldioxid",273387,259908,291563,307954,254549
"M69-M70 juridisk och ekonomisk verksamhet, verksamheter som utövas av huvudkontor; konsulttjänster till företag","co2 koldioxid",281072,301150,259437,263647,235970
"M71-M72 arkitekt- och tekniska tjänster, vetenskaplig forskning och utveckling","co2 koldioxid",199937,200430,213821,201911,153893
"M73-M75 reklam och marknadsundersökning, annan verksamhet inom juridik, ekonomi, vetenskap, teknik; veterinärverksamhet","co2 koldioxid",85761,93975,83984,86763,79065
"N77 uthyrningsfirmor   ","co2 koldioxid",191970,234913,229859,231791,224237
"N78-N82 arbetsförmedling, resetjänster, andra stödtjänster","co2 koldioxid",213960,222423,237855,249921,241056
"P85 utbildning","co2 koldioxid",66304,73541,70476,70784,66653
"Q86 hälso- och sjukvård","co2 koldioxid",54629,63315,53182,55180,53134
"Q87-Q88 vård och omsorg med boende, öppna sociala insatser","co2 koldioxid",21530,26010,24691,27088,26337
"R90-R93 kultur, nöje och fritid","co2 koldioxid",87628,93408,86158,95346,90822
"S94-T98 annan serviceverksamhet och förvärvsarbete i hushåll m.m.","co2 koldioxid",114214,119333,116077,119911,104182
"U99 internationella organisationer, utländska ambassader o.d.","co2 koldioxid",18,24,25,6,5
"OFF offentlig sektor","co2 koldioxid",867824,842657,861566,804304,795207
"HIO hushållens icke-vinstdrivande organisationer","co2 koldioxid",21990,21438,21200,20206,20049
"PK privat konsumtion","co2 koldioxid",10678701,10309808,10355692,9680358,9297770
