Län,användargrupp,1995,2000,2005,2010
Stockholms län,hushåll,125347,130832,127908,137582
Uppsala län,hushåll,19745,20448,19573,20519
Södermanlands län,hushåll,18361,18711,14289,14805
Östergötlands län,hushåll,29635,29639,22266,22119
Jönköpings län,hushåll,20819,20084,19469,19479
Kronobergs län,hushåll,10631,10468,9946,9844
Kalmar län,hushåll,15473,15288,14128,14588
Gotlands län,hushåll,3872,3775,3518,3673
Blekinge län,hushåll,9913,10442,8124,7789
Skåne län,hushåll,79018,78078,72968,73728
Hallands län,hushåll,17739,18498,17586,16038
Västra Götalands län,hushåll,96123,97663,91447,93150
Värmlands län,hushåll,19199,19073,16605,16593
Örebro län,hushåll,19799,19114,17165,16536
Västmanlands län,hushåll,19179,18726,15763,15254
Dalarnas län,hushåll,20419,20084,17403,17968
Gävleborgs län,hushåll,21034,18484,17394,19192
Västernorrlands län,hushåll,20812,18093,15124,15140
Jämtlands län,hushåll,10573,12481,9536,9285
Västerbottens län,hushåll,18125,17908,16190,16003
Norrbottens län,hushåll,20609,20421,14898,16357
